id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,langue1,pourcentage_langue1,langue2,pourcentage_langue2,langue3,pourcentage_langue3,release_year
1hQy1OVdyAyDLTiGVCgHm5,"""Depuis le jour""",,Gustave Charpentier,0.212,0.0952,7,-20.361,1,0.0429,0.976,0.0113,0.0817,0.0377,87.061,317893.0,fr,100.0,,,,,2008.0
47KC5PP73D2eqdmnaLPAOy,"""Pourquoi me réveiller, ô souffle du printemps?""",,Jules Massenet,0.205,0.186,F#,-18.988,Minor,0.0412,0.939,0.753,0.119,0.0965,79.817,183520.0,fr,100.0,,,,,2007.0
3ojFvzaV3j6bxd1WYjHUtp,"""si"" n'existe pas",,AqME,0.611,0.681,7,-6.855,1,0.0273,0.000196,0.00234,0.0918,0.36,115.111,257147.0,fr,100.0,,,,,2002.0
4T7fVWFjYNwkuCKRpKXVeB,#Askip,Éternel insatisfait,['Black M'],0.7,0.807,11,-6.051,0,0.124,0.0156,0.0,0.141,0.713,128.02200000000002,233147.0,fr,100.0,,,,,2016.0
0QHV2gJA61wCLWe4BzWNWQ,#Cash,A l'infini (Summer Edition),['TAL'],0.469,0.623,2,-5.831,1,0.0619,0.00153,0.00155,0.161,0.33,171.99,250333.0,fr,100.0,,,,,2014.0
3MSsRaRFiY6C3h7NINytKR,#Cash,,TAL,0.469,0.623,2,-5.831,1,0.0619,0.00153,0.00155,0.161,0.33,171.99,250333.0,fr,100.0,,,,,2014.0
4dRnPHC569pXdeeV9sQPZL,#Hulahoop,,Gros Mo,0.758,0.458,5,-8.343,0,0.0759,0.762,5.69e-06,0.0961,0.202,119.145,255126.0,fr,100.0,,,,,2016.0
7bBNp4zBLJcar6GqSQkuwj,#LHOMMEAUBOB,,['Gradur'],0.831,0.73,10.0,-8.483,0.0,0.251,0.0716,0.0,0.0625,0.345,130.098,264240.0,fr,100.0,,,,,2015.0
1F3fG24hhTVMZNzSUX2diU,#MESUISTROMPÉE,Passe... comme tu sais,['Julia'],0.737,0.823,7,-5.119,1,0.0341,0.623,6.459999999999997e-05,0.163,0.595,105.005,227800.0,fr,100.0,,,,,2020.0
3HfkowNUVZZu0qPlFhTaQT,#cpasgrave - Radio Edit,Sebolavy (Bonus Track Version),['Mickey 3d'],0.757,0.6990000000000001,2,-10.408,0,0.0481,0.599,0.151,0.0546,0.922,88.029,171347.0,fr,100.0,,,,,2014.0
