release_year,count
2018.0,1017
2019.0,959
2004.0,849
2020.0,828
2006.0,807
2008.0,792
2007.0,784
2017.0,750
2001.0,663
2003.0,646
2002.0,643
2013.0,636
2016.0,622
2005.0,622
2011.0,614
2009.0,611
2010.0,582
2015.0,572
2012.0,572
2014.0,539
2000.0,532
2021.0,489
2022.0,468
2023.0,262
1997.0,173
1995.0,167
1996.0,163
1993.0,139
1999.0,132
1998.0,112
1991.0,108
1994.0,101
1989.0,74
1992.0,67
1990.0,58
1988.0,58
1968.0,48
1987.0,45
1967.0,40
1986.0,39
1964.0,36
1978.0,30
1980.0,30
1966.0,29
1975.0,29
1953.0,28
1971.0,27
1985.0,27
1962.0,26
1961.0,26
1983.0,25
1972.0,22
1965.0,21
1963.0,20
1979.0,19
1984.0,18
1982.0,18
1976.0,18
1977.0,16
1934.0,16
1969.0,16
1981.0,16
1935.0,14
1932.0,13
1973.0,12
1959.0,12
1930.0,11
1948.0,10
1931.0,10
1955.0,10
1933.0,9
1949.0,9
1952.0,9
1960.0,9
1974.0,8
1928.0,6
1970.0,5
1956.0,5
1958.0,5
1922.0,4
1951.0,4
1950.0,4
1927.0,4
1926.0,3
1940.0,3
1929.0,3
1957.0,3
0.0,3
1924.0,2
1925.0,2
1954.0,2
1921.0,2
1946.0,1
