eps,min_samples,n_clusters,silhouette_score,davies_bouldin_index,n_outliers,percentage_outliers
0.5,1,13730,0.05716239409943472,0.08768814554512819,0,0.0
0.5,11,0,-1.0,-1.0,14201,1.0
0.5,21,0,-1.0,-1.0,14201,1.0
0.5,31,0,-1.0,-1.0,14201,1.0
0.5,41,0,-1.0,-1.0,14201,1.0
0.5,51,0,-1.0,-1.0,14201,1.0
0.5,61,0,-1.0,-1.0,14201,1.0
0.5,71,0,-1.0,-1.0,14201,1.0
0.5,81,0,-1.0,-1.0,14201,1.0
0.5,91,0,-1.0,-1.0,14201,1.0
0.5,101,0,-1.0,-1.0,14201,1.0
0.5,111,0,-1.0,-1.0,14201,1.0
0.5,121,0,-1.0,-1.0,14201,1.0
0.5,131,0,-1.0,-1.0,14201,1.0
0.5,141,0,-1.0,-1.0,14201,1.0
0.5,151,0,-1.0,-1.0,14201,1.0
0.5,161,0,-1.0,-1.0,14201,1.0
0.5,171,0,-1.0,-1.0,14201,1.0
0.5,181,0,-1.0,-1.0,14201,1.0
0.5,191,0,-1.0,-1.0,14201,1.0
0.5,201,0,-1.0,-1.0,14201,1.0
0.5,211,0,-1.0,-1.0,14201,1.0
0.5,221,0,-1.0,-1.0,14201,1.0
0.5,231,0,-1.0,-1.0,14201,1.0
0.5,241,0,-1.0,-1.0,14201,1.0
0.5,251,0,-1.0,-1.0,14201,1.0
0.5,261,0,-1.0,-1.0,14201,1.0
0.5,271,0,-1.0,-1.0,14201,1.0
0.5,281,0,-1.0,-1.0,14201,1.0
0.5,291,0,-1.0,-1.0,14201,1.0
0.5,301,0,-1.0,-1.0,14201,1.0
0.5,311,0,-1.0,-1.0,14201,1.0
0.5,321,0,-1.0,-1.0,14201,1.0
0.5,331,0,-1.0,-1.0,14201,1.0
0.5,341,0,-1.0,-1.0,14201,1.0
0.5,351,0,-1.0,-1.0,14201,1.0
0.5,361,0,-1.0,-1.0,14201,1.0
0.5,371,0,-1.0,-1.0,14201,1.0
0.5,381,0,-1.0,-1.0,14201,1.0
0.5,391,0,-1.0,-1.0,14201,1.0
0.5,401,0,-1.0,-1.0,14201,1.0
0.5,411,0,-1.0,-1.0,14201,1.0
0.5,421,0,-1.0,-1.0,14201,1.0
0.5,431,0,-1.0,-1.0,14201,1.0
0.5,441,0,-1.0,-1.0,14201,1.0
0.5,451,0,-1.0,-1.0,14201,1.0
0.5,461,0,-1.0,-1.0,14201,1.0
0.5,471,0,-1.0,-1.0,14201,1.0
0.5,481,0,-1.0,-1.0,14201,1.0
0.5,491,0,-1.0,-1.0,14201,1.0
0.5,501,0,-1.0,-1.0,14201,1.0
0.5,511,0,-1.0,-1.0,14201,1.0
0.5,521,0,-1.0,-1.0,14201,1.0
0.5,531,0,-1.0,-1.0,14201,1.0
0.5,541,0,-1.0,-1.0,14201,1.0
0.5,551,0,-1.0,-1.0,14201,1.0
0.5,561,0,-1.0,-1.0,14201,1.0
0.5,571,0,-1.0,-1.0,14201,1.0
0.5,581,0,-1.0,-1.0,14201,1.0
0.5,591,0,-1.0,-1.0,14201,1.0
0.5,601,0,-1.0,-1.0,14201,1.0
0.5,611,0,-1.0,-1.0,14201,1.0
0.5,621,0,-1.0,-1.0,14201,1.0
0.5,631,0,-1.0,-1.0,14201,1.0
0.5,641,0,-1.0,-1.0,14201,1.0
0.5,651,0,-1.0,-1.0,14201,1.0
0.5,661,0,-1.0,-1.0,14201,1.0
0.5,671,0,-1.0,-1.0,14201,1.0
0.5,681,0,-1.0,-1.0,14201,1.0
0.5,691,0,-1.0,-1.0,14201,1.0
0.5,701,0,-1.0,-1.0,14201,1.0
0.5,711,0,-1.0,-1.0,14201,1.0
0.5,721,0,-1.0,-1.0,14201,1.0
0.5,731,0,-1.0,-1.0,14201,1.0
0.5,741,0,-1.0,-1.0,14201,1.0
0.5,751,0,-1.0,-1.0,14201,1.0
0.5,761,0,-1.0,-1.0,14201,1.0
0.5,771,0,-1.0,-1.0,14201,1.0
0.5,781,0,-1.0,-1.0,14201,1.0
0.5,791,0,-1.0,-1.0,14201,1.0
0.5,801,0,-1.0,-1.0,14201,1.0
0.5,811,0,-1.0,-1.0,14201,1.0
0.5,821,0,-1.0,-1.0,14201,1.0
0.5,831,0,-1.0,-1.0,14201,1.0
0.5,841,0,-1.0,-1.0,14201,1.0
0.5,851,0,-1.0,-1.0,14201,1.0
0.5,861,0,-1.0,-1.0,14201,1.0
0.5,871,0,-1.0,-1.0,14201,1.0
0.5,881,0,-1.0,-1.0,14201,1.0
0.5,891,0,-1.0,-1.0,14201,1.0
0.6,1,13693,0.05964721819782592,0.11074811465076785,0,0.0
0.6,11,0,-1.0,-1.0,14201,1.0
0.6,21,0,-1.0,-1.0,14201,1.0
0.6,31,0,-1.0,-1.0,14201,1.0
0.6,41,0,-1.0,-1.0,14201,1.0
0.6,51,0,-1.0,-1.0,14201,1.0
0.6,61,0,-1.0,-1.0,14201,1.0
0.6,71,0,-1.0,-1.0,14201,1.0
0.6,81,0,-1.0,-1.0,14201,1.0
0.6,91,0,-1.0,-1.0,14201,1.0
0.6,101,0,-1.0,-1.0,14201,1.0
0.6,111,0,-1.0,-1.0,14201,1.0
0.6,121,0,-1.0,-1.0,14201,1.0
0.6,131,0,-1.0,-1.0,14201,1.0
0.6,141,0,-1.0,-1.0,14201,1.0
0.6,151,0,-1.0,-1.0,14201,1.0
0.6,161,0,-1.0,-1.0,14201,1.0
0.6,171,0,-1.0,-1.0,14201,1.0
0.6,181,0,-1.0,-1.0,14201,1.0
0.6,191,0,-1.0,-1.0,14201,1.0
0.6,201,0,-1.0,-1.0,14201,1.0
0.6,211,0,-1.0,-1.0,14201,1.0
