eps,min_samples,n_clusters,silhouette_score,davies_bouldin_index,n_outliers,percentage_outliers
0.5,1,13730,0.05716239409943472,0.08768814554512819,0,0.0
0.5,11,0,-1.0,-1.0,14201,1.0
0.5,21,0,-1.0,-1.0,14201,1.0
0.5,31,0,-1.0,-1.0,14201,1.0
0.5,41,0,-1.0,-1.0,14201,1.0
0.5,51,0,-1.0,-1.0,14201,1.0
0.5,61,0,-1.0,-1.0,14201,1.0
0.5,71,0,-1.0,-1.0,14201,1.0
0.5,81,0,-1.0,-1.0,14201,1.0
0.5,91,0,-1.0,-1.0,14201,1.0
0.6,1,13693,0.05964721819782592,0.11074811465076785,0,0.0
0.6,11,0,-1.0,-1.0,14201,1.0
0.6,21,0,-1.0,-1.0,14201,1.0
0.6,31,0,-1.0,-1.0,14201,1.0
0.6,41,0,-1.0,-1.0,14201,1.0
0.6,51,0,-1.0,-1.0,14201,1.0
0.6,61,0,-1.0,-1.0,14201,1.0
0.6,71,0,-1.0,-1.0,14201,1.0
0.6,81,0,-1.0,-1.0,14201,1.0
0.6,91,0,-1.0,-1.0,14201,1.0
0.7,1,13646,0.06236133574657612,0.14212693471236082,0,0.0
0.7,11,0,-1.0,-1.0,14201,1.0
0.7,21,0,-1.0,-1.0,14201,1.0
0.7,31,0,-1.0,-1.0,14201,1.0
0.7,41,0,-1.0,-1.0,14201,1.0
0.7,51,0,-1.0,-1.0,14201,1.0
0.7,61,0,-1.0,-1.0,14201,1.0
0.7,71,0,-1.0,-1.0,14201,1.0
0.7,81,0,-1.0,-1.0,14201,1.0
0.7,91,0,-1.0,-1.0,14201,1.0
0.8,1,13565,0.06568346113137508,0.17580615722860063,0,0.0
0.8,11,0,-1.0,-1.0,14201,1.0
0.8,21,0,-1.0,-1.0,14201,1.0
0.8,31,0,-1.0,-1.0,14201,1.0
0.8,41,0,-1.0,-1.0,14201,1.0
0.8,51,0,-1.0,-1.0,14201,1.0
0.8,61,0,-1.0,-1.0,14201,1.0
0.8,71,0,-1.0,-1.0,14201,1.0
0.8,81,0,-1.0,-1.0,14201,1.0
0.8,91,0,-1.0,-1.0,14201,1.0
0.9,1,13423,0.07075379305650449,0.21843314011451823,0,0.0
0.9,11,0,-1.0,-1.0,14201,1.0
0.9,21,0,-1.0,-1.0,14201,1.0
0.9,31,0,-1.0,-1.0,14201,1.0
0.9,41,0,-1.0,-1.0,14201,1.0
0.9,51,0,-1.0,-1.0,14201,1.0
0.9,61,0,-1.0,-1.0,14201,1.0
0.9,71,0,-1.0,-1.0,14201,1.0
0.9,81,0,-1.0,-1.0,14201,1.0
0.9,91,0,-1.0,-1.0,14201,1.0
1.0,1,13107,0.07675976877093442,0.3014888670157909,0,0.0
1.0,11,0,-1.0,-1.0,14201,1.0
1.0,21,0,-1.0,-1.0,14201,1.0
1.0,31,0,-1.0,-1.0,14201,1.0
1.0,41,0,-1.0,-1.0,14201,1.0
1.0,51,0,-1.0,-1.0,14201,1.0
1.0,61,0,-1.0,-1.0,14201,1.0
1.0,71,0,-1.0,-1.0,14201,1.0
1.0,81,0,-1.0,-1.0,14201,1.0
1.0,91,0,-1.0,-1.0,14201,1.0
1.1,1,12483,0.0786861000239593,0.4308134366096525,0,0.0
1.1,11,1,0.16820673257052665,0.8414640507689999,14186,0.9989437363565946
1.1,21,0,-1.0,-1.0,14201,1.0
1.1,31,0,-1.0,-1.0,14201,1.0
1.1,41,0,-1.0,-1.0,14201,1.0
1.1,51,0,-1.0,-1.0,14201,1.0
1.1,61,0,-1.0,-1.0,14201,1.0
1.1,71,0,-1.0,-1.0,14201,1.0
1.1,81,0,-1.0,-1.0,14201,1.0
1.1,91,0,-1.0,-1.0,14201,1.0
1.2,1,11355,0.06496375200580018,0.5936637788092234,0,0.0
1.2,11,1,0.1685959929389194,0.8642938791435474,14183,0.9987324836279136
1.2,21,0,-1.0,-1.0,14201,1.0
1.2,31,0,-1.0,-1.0,14201,1.0
1.2,41,0,-1.0,-1.0,14201,1.0
1.2,51,0,-1.0,-1.0,14201,1.0
1.2,61,0,-1.0,-1.0,14201,1.0
1.2,71,0,-1.0,-1.0,14201,1.0
1.2,81,0,-1.0,-1.0,14201,1.0
1.2,91,0,-1.0,-1.0,14201,1.0
1.3,1,9582,-0.038222482882864096,0.8588167476729883,0,0.0
1.3,11,13,-0.3228251511488079,1.5865557902718221,14027,0.9877473417364975
1.3,21,0,-1.0,-1.0,14201,1.0
1.3,31,0,-1.0,-1.0,14201,1.0
1.3,41,0,-1.0,-1.0,14201,1.0
1.3,51,0,-1.0,-1.0,14201,1.0
1.3,61,0,-1.0,-1.0,14201,1.0
1.3,71,0,-1.0,-1.0,14201,1.0
1.3,81,0,-1.0,-1.0,14201,1.0
1.3,91,0,-1.0,-1.0,14201,1.0
1.4,1,7511,-0.15752496748809572,0.8712474915296838,0,0.0
1.4,11,25,-0.3420189360452399,1.820799968930726,13266,0.9341595662277304
1.4,21,1,-0.024485820301791975,1.4719665472810504,14169,0.9977466375607351
1.4,31,0,-1.0,-1.0,14201,1.0
1.4,41,0,-1.0,-1.0,14201,1.0
1.4,51,0,-1.0,-1.0,14201,1.0
1.4,61,0,-1.0,-1.0,14201,1.0
1.4,71,0,-1.0,-1.0,14201,1.0
1.4,81,0,-1.0,-1.0,14201,1.0
1.4,91,0,-1.0,-1.0,14201,1.0
1.5,1,5542,-0.2720881881650732,0.8758770619546232,0,0.0
1.5,11,19,-0.3204232286285366,2.0528083278718277,11110,0.7823392718822618
1.5,21,14,-0.3182361533720383,2.151626430752258,13669,0.962537849447222
1.5,31,1,-0.14757986280635332,2.2800234686712497,14170,0.9978170551369622
1.5,41,0,-1.0,-1.0,14201,1.0
