Variable 1,Variable 2,Valeur de Corrélation,P-value,Méthode de Corrélation,Significativité
danceability,energy,0.19284900703057886,4.8290866277892435e-119,spearman,***
danceability,mode,-0.10055904252759533,1.0998623999929897e-48,kendall,***
danceability,acousticness,-0.1870267945041821,5.912180719298619e-112,spearman,***
danceability,valence,0.4491728218087156,0.0,spearman,***
danceability,tempo,-0.03778098577063262,6.684525188541709e-06,spearman,***
danceability,release_year,0.2162140030546348,7.480686734314137e-150,spearman,***
danceability,decenie,0.1944864091371283,4.451606668948333e-121,spearman,***
danceability,key_sin,-0.03113520115213109,0.00020653098778007428,spearman,***
danceability,key_cos,0.006983346372386255,0.23878742345980675,kendall,
danceability,loudness_winsorized,0.16568140555085675,6.098426469909036e-88,spearman,***
danceability,speechiness_log,0.3312011774793491,0.0,spearman,***
danceability,instrumentalness_log,-0.08710364488838442,2.5103028523618605e-25,spearman,***
danceability,liveness_log,-0.15399936612820964,4.3021281984944957e-76,spearman,***
danceability,duration_log,-0.10738077589584603,1.080548518856273e-37,spearman,***
energy,mode,-0.0444533745586471,8.952562001129889e-11,kendall,***
energy,acousticness,-0.6545124664405366,0.0,spearman,***
energy,valence,0.4334668874481681,0.0,spearman,***
energy,tempo,0.1140426244887025,2.5304734597129467e-42,spearman,***
energy,release_year,-0.006437993227016808,0.4429965800375152,spearman,
energy,decenie,-0.00023518416511133462,0.9776430510048756,spearman,
energy,key_sin,-0.02641091146903928,0.001646133504571337,spearman,**
energy,key_cos,-0.008512815950648707,0.31039960614518847,spearman,
energy,loudness_winsorized,0.7547070600968215,0.0,spearman,***
energy,speechiness_log,0.24829355248717425,1.7207195622216065e-198,spearman,***
energy,instrumentalness_log,-0.10464600997821737,7.126122750706155e-36,spearman,***
energy,liveness_log,0.12769074506944883,1.0737735332667816e-52,spearman,***
energy,duration_log,0.03936844872097818,2.694072813593026e-06,spearman,***
mode,acousticness,0.038322418664393676,2.258281290787642e-08,kendall,***
mode,valence,-0.01215906940240242,0.14736624647087562,spearman,
mode,tempo,-0.0023362944495028417,0.780715075386228,spearman,
mode,release_year,-0.11780175358379501,6.597663174301665e-64,kendall,***
mode,decenie,-0.12022237724155228,5.908513992138134e-53,kendall,***
mode,key_sin,0.025928159948890205,0.00031474595680483454,kendall,***
mode,key_cos,0.058572766951312694,6.780535425005579e-16,kendall,***
mode,loudness_winsorized,-0.06003829601762231,1.9588319706196738e-18,kendall,***
mode,speechiness_log,-0.0936810200808321,1.7294530445104487e-42,kendall,***
mode,instrumentalness_log,0.007221345965873942,0.38951984569771236,spearman,
mode,liveness_log,0.03345794307624762,1.0867879072379519e-06,kendall,***
mode,duration_log,-0.028950320754390822,2.390590581853589e-05,kendall,***
acousticness,valence,-0.22093905347931186,1.5006662157696265e-156,spearman,***
acousticness,tempo,-0.09884204530544616,3.60488318983124e-32,spearman,***
acousticness,release_year,-0.010235440530697327,0.22259340049812726,spearman,
acousticness,decenie,-0.01097497912652292,0.1909445447103016,spearman,
acousticness,key_sin,0.028661752754163685,0.0006355680086705247,spearman,***
acousticness,key_cos,-0.009855436446289025,0.09624957732988716,kendall,
acousticness,loudness_winsorized,-0.5196813544419561,0.0,spearman,***
acousticness,speechiness_log,-0.12986549981298262,1.8514221976384733e-54,spearman,***
acousticness,instrumentalness_log,-0.014299796785077347,0.08837836635298622,spearman,
acousticness,liveness_log,-0.0506920615143165,1.5013164038037297e-09,spearman,***
acousticness,duration_log,-0.10221775000250546,2.6819902025808326e-34,spearman,***
valence,tempo,0.0779806914646692,1.3254512448218788e-20,spearman,***
valence,release_year,-0.11312112277961088,1.1496099254163036e-41,spearman,***
valence,decenie,-0.10648137229890788,4.336865868315486e-37,spearman,***
valence,key_sin,-0.03465298619417503,3.6212913218515895e-05,spearman,***
valence,key_cos,-0.018803687323141808,0.02503918231342524,spearman,*
valence,loudness_winsorized,0.266650157125266,9.715380150011134e-230,spearman,***
valence,speechiness_log,0.19643362934957098,1.5994266717673533e-123,spearman,***
valence,instrumentalness_log,-0.14131258754977077,3.0228123133039497e-64,spearman,***
valence,liveness_log,0.013906296982877188,0.09749539190934167,spearman,
valence,duration_log,-0.18140058711763304,2.515797639709784e-105,spearman,***
tempo,release_year,0.014481022003076202,0.011060077110282722,kendall,*
tempo,decenie,0.017771966791044376,0.0055554801139186955,kendall,**
tempo,key_sin,0.007766435306819308,0.3547357016850967,spearman,
tempo,key_cos,0.01570241541130811,0.008026888756955244,kendall,**
tempo,loudness_winsorized,0.042677036136077345,2.4311921002484474e-14,kendall,***
tempo,speechiness_log,0.011849785562311957,0.03432417754748785,kendall,*
tempo,instrumentalness_log,0.0034361392411086716,0.563544269665063,kendall,
tempo,liveness_log,-0.004234974361083603,0.6138180000349072,spearman,
tempo,duration_log,-0.032773374229362856,9.374292473684711e-05,spearman,***
release_year,decenie,0.9353455802943222,0.0,spearman,***
release_year,key_sin,-0.0001931148350313771,0.981641440128059,spearman,
release_year,key_cos,0.015808442639237228,0.0595904696709823,spearman,
release_year,loudness_winsorized,0.0849603704182202,3.59650058787124e-24,spearman,***
release_year,speechiness_log,0.23365403039482224,2.2831606329741725e-175,spearman,***
release_year,instrumentalness_log,-0.0351651317896502,2.7713573069032804e-05,spearman,***
